method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,runtime_s,planning_calls,planning_time_s,cover_searches,failure
mec,n16_uniform_disk_3,uniform_disk,16,16,2688.2124902671367,168.01328064169604,10176.062451335676,95,3,0.24187510000774637,0,0.0,0,
mec,n16_outer_ring_0,outer_ring,16,16,4176.683202362763,261.0427001476727,16103.416011813815,146,2,0.19319979999272618,0,0.0,0,
mec,n16_outer_ring_1,outer_ring,16,16,3391.87249020727,211.99203063795437,12664.362451036352,128,7,0.22387679999519605,0,0.0,0,
mec,n16_outer_ring_2,outer_ring,16,16,3830.720277426937,239.42001733918357,14443.60138713469,143,4,0.2076121999998577,0,0.0,0,
mec,n16_outer_ring_3,outer_ring,16,16,3557.772233532851,222.36076459580318,13898.861167664256,117,0,0.22652740000921767,0,0.0,0,
mec,n16_two_clusters_0,two_clusters,16,16,2029.416779664947,126.83854872905918,6772.083898324735,100,0,0.25065219998941757,0,0.0,0,
mec,n16_two_clusters_1,two_clusters,16,16,1664.6683251336826,104.04177032085516,5988.341625668411,64,2,0.0980351000034716,0,0.0,0,
mec,n16_two_clusters_2,two_clusters,16,16,1732.9448274361266,108.30905171475791,6279.724137180634,67,0,0.16851170000154525,0,0.0,0,
mec,n16_two_clusters_3,two_clusters,16,16,2264.8693587370553,141.55433492106596,7699.346793685274,109,0,0.268707799987169,0,0.0,0,
mec,n16_narrow_sector_0,narrow_sector,16,16,2805.368966785324,175.33556042408276,7786.844833926623,195,0,0.223811999996542,0,0.0,0,
mec,n16_narrow_sector_1,narrow_sector,16,16,1326.7036981365661,82.91898113353538,4333.518490682831,65,0,0.11953170000924729,0,0.0,0,
mec,n16_narrow_sector_2,narrow_sector,16,16,2158.080230677133,134.8800144173208,6410.401153385665,132,2,0.24485099999583326,0,0.0,0,
mec,n16_narrow_sector_3,narrow_sector,16,16,1484.0998373409293,92.75623983380808,3945.499186704645,103,0,0.1449995000002673,0,0.0,0,
mec,n16_coverage_seams_0,coverage_seams,16,16,3803.495364563504,237.718460285219,14372.47682281751,137,14,0.17159490000631195,0,0.0,0,
mec,n16_coverage_seams_1,coverage_seams,16,16,3639.71967120813,227.48247945050812,13863.59835604065,126,16,0.2165264999930514,0,0.0,0,
mec,n16_coverage_seams_2,coverage_seams,16,16,3761.296502973089,235.08103143581806,14371.482514865444,130,15,0.2023639999970328,0,0.0,0,
mec,n16_coverage_seams_3,coverage_seams,16,16,3557.391089624552,222.3369431015345,13471.955448122757,126,14,0.21621839998988435,0,0.0,0,
q2,n10_uniform_disk_0,uniform_disk,10,10,3271.1503463252766,327.1150346325277,11865.751731626378,141,2,0.531877400004305,6,0.3742331999965245,0,
q2,n10_uniform_disk_1,uniform_disk,10,10,2806.448119973267,280.64481199732666,9767.240599866334,132,6,0.7761278999969363,11,0.5985433999885572,0,
q2,n10_uniform_disk_2,uniform_disk,10,10,2877.929253507859,287.7929253507859,10089.646267539296,135,1,0.5405365000042366,7,0.3850469000026351,0,
q2,n10_uniform_disk_3,uniform_disk,10,10,2544.749384846673,254.4749384846673,8733.746924233365,125,0,0.29926759999943897,2,0.09983799999463372,0,
q2,n10_outer_ring_0,outer_ring,10,10,3804.024441704253,380.4024441704253,14520.122208521267,142,2,0.3569485999905737,4,0.20511609998357017,0,
q2,n10_outer_ring_1,outer_ring,10,10,3000.1871769588633,300.0187176958863,10070.935884794317,154,7,0.589579399995273,8,0.43519830000877846,0,
q2,n10_outer_ring_2,outer_ring,10,10,3420.04639460852,342.004639460852,12545.231973042597,143,3,0.4117029999906663,5,0.2623852000106126,0,
q2,n10_outer_ring_3,outer_ring,10,10,3355.5034517004647,335.55034517004646,12522.517258502327,134,0,0.19394060000195168,1,0.04356039999402128,0,
q2,n10_two_clusters_0,two_clusters,10,10,2431.1196241015978,243.11196241015978,7940.598120507989,132,1,0.2866053999896394,2,0.11193940001248848,0,
