x,y,J,p_near,p_direction,p_no_signal,normalization_error,level,spacing_m,effective_angle_fallbacks,direction_mass_correction
300.0,-900.0,66.81093184779576,0.0,0.8641508036190695,0.13584919638093074,2.220446049250313e-16,1,300.0,1,-0.0004211587926483684
750.0,150.0,67.20263842979017,0.0,1.0,0.0,0.0,2,150.0,0,0.0
300.0,-600.0,69.42473652921522,0.0,1.0,0.0,0.0,1,300.0,1,0.0
900.0,-1050.0,69.74105977807751,0.0,0.933422374684718,0.06657762531528212,2.220446049250313e-16,2,150.0,0,-0.000728174571493323
300.0,600.0,70.99240263841216,0.0,1.0,0.0,0.0,1,300.0,2,0.0
1200.0,300.0,72.25391826126827,0.0,0.9989990258437687,0.0010009741562314208,0.0,1,300.0,0,-0.0010009694065371555
300.0,900.0,77.82543318813046,0.0,0.7983957430843371,0.20160425691566272,1.1102230246251565e-16,1,300.0,2,0.001515867803565385
1050.0,150.0,78.43328138636805,0.0,1.0,0.0,0.0,2,150.0,0,0.0
1200.0,-300.0,79.85444804296138,0.0,0.9990174029634158,0.0009825970365842608,0.0,1,300.0,0,-0.000982592286889905
600.0,150.0,85.03651520539665,0.0,1.0,0.0,0.0,2,150.0,0,0.0
1200.0,-900.0,95.0145923731024,0.0,0.8896436024859481,0.11035639751405182,1.1102230246251565e-16,1,300.0,1,0.000599824848093844
300.0,300.0,97.61185543954707,0.0,1.0,0.0,0.0,1,300.0,0,0.0
300.0,-300.0,98.33716076062834,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,1,300.0,0,0.0
1200.0,900.0,99.23734568121802,0.0,0.8805309179913738,0.11946908200862602,1.1102230246251565e-16,1,300.0,1,0.00020736192269432685
0.0,-600.0,100.89296830236759,0.0,0.7653080857403897,0.23469191425961017,2.220446049250313e-16,0,600,0,-0.0003202424568455875
0.0,600.0,108.68831535714418,0.0,0.7350727903226675,0.2649272096773325,0.0,0,600,0,-0.00015225325731493822
1200.0,150.0,110.48333496179157,0.0,0.9999554603639805,4.45396360195694e-05,0.0,2,150.0,0,-4.453488632527591e-05
1050.0,-1050.0,112.83660385967465,0.0,0.8560391654174813,0.14396083458251863,1.1102230246251565e-16,2,150.0,2,-0.0007654955665445939
1500.0,300.0,133.2263089839583,0.0,0.9198516844458866,0.08014831555411356,2.220446049250313e-16,1,300.0,0,0.003187277976821945
1500.0,600.0,135.9671126793658,0.0,0.8494248465968665,0.15057515340313357,0.0,1,300.0,0,-0.0005991277489905134
1500.0,-600.0,136.50550831244774,0.0,0.855381060641034,0.14461893935896605,0.0,1,300.0,1,0.0012183457579002521
0.0,300.0,141.1661703569409,0.0,0.9290982574647533,0.0709017425352467,0.0,1,300.0,1,-0.0006222484158928676
0.0,-300.0,142.25670087964224,0.0,0.9459970033850632,0.05400299661493656,2.220446049250313e-16,1,300.0,1,0.0006610974386830337
1500.0,-300.0,150.1214735128383,0.0,0.9212853328076268,0.0787146671923733,0.0,1,300.0,0,0.004620926338562148
1200.0,-1050.0,197.06464362254937,0.0,0.7491488900463967,0.2508511099536034,0.0,2,150.0,0,-0.0009164780147922214
0.0,-900.0,247.85466013212917,0.0,0.45525117056499576,0.5447488294350042,0.0,1,300.0,1,0.00044356968034386934
