seed,source_count,probes_virtual_time_s,probes_movement_m,probes_real_time_s,probes_audit_time_s,probes_failed_clears,probes_long_moves_over_1km,probes_fallback_s,probes_complete,frozen_advantage_virtual_time_s,frozen_advantage_movement_m,frozen_advantage_real_time_s,frozen_advantage_audit_time_s,frozen_advantage_failed_clears,frozen_advantage_long_moves_over_1km,frozen_advantage_fallback_s,frozen_advantage_complete,frozen_advantage_saved_s,frozen_advantage_overrides,finetuned_advantage_virtual_time_s,finetuned_advantage_movement_m,finetuned_advantage_real_time_s,finetuned_advantage_audit_time_s,finetuned_advantage_failed_clears,finetuned_advantage_long_moves_over_1km,finetuned_advantage_fallback_s,finetuned_advantage_complete,finetuned_advantage_saved_s,finetuned_advantage_overrides
280020020,11,5918.364723,21426.82359483407,36.55392117700103,0.6509324120052042,1,2,0.0,True,5972.960483,21454.80240817666,55.274300871999,0.37328885000169976,1,2,0.0,True,-54.595760000000155,6,6010.525231,21572.626145908256,84.42371474699758,0.10792434999893885,2,2,0.0,True,-92.16050799999994,8
280020021,16,5549.927231,21919.636126606278,62.26534510900092,0.9051903650033637,3,1,0.0,True,4598.217733,19021.08865449332,60.376778443998774,1.0177071220023208,0,1,0.0,True,951.7094979999993,8,4630.704809,19163.524045263795,74.67160369700287,0.05214309299481101,1,1,0.0,True,919.2224219999998,8
280020022,16,5146.123002,19525.615006583586,42.73339640299673,1.025079511993681,0,0,0.0,True,5340.386279,19771.93139537924,49.345065098001214,0.2533258159965044,0,1,0.0,True,-194.26327700000002,8,5116.942487,19414.712443852175,54.50693814899569,0.26299117699818453,0,0,0.0,True,29.180515000000014,9
280020023,10,6093.914768,21579.57381122793,43.617040780001844,0.13164343199605355,3,1,0.0,True,5908.706271,20778.531350676592,46.85089620100189,0.1681630849998328,2,1,0.0,True,185.20849699999962,8,6157.964824,21849.824107837558,47.504325656998844,0.18088214300223626,4,2,0.0,True,-64.05005600000004,2
280020024,11,5813.830518,21114.152563636657,41.810258286001044,0.18441833600081736,1,0,0.0,True,5879.883179,21414.415861168804,47.44700876600109,0.19783038400055375,1,0,0.0,True,-66.05266100000063,5,5778.704349,20933.521721566976,49.00030943300226,0.23090149500058033,1,0,0.0,True,35.12616900000012,6
280020025,16,5137.977637,20079.88816592718,44.73678902199754,0.12561894900136394,0,0,0.0,True,5128.680705,20073.403504296635,56.368783768004505,0.37069579099625116,2,0,0.0,True,9.296932000000197,5,5069.885934,19789.429665920718,57.48374272899673,0.18637857700377936,2,0,0.0,True,68.09170300000005,6
280020026,13,5377.31333,20321.566627792196,34.581580013997154,0.17760213700239547,2,0,0.0,True,5412.930971,20184.654837013124,47.84485749099986,0.1962111829998321,2,0,0.0,True,-35.61764099999982,4,5412.930971,20184.654837013124,47.46390117300325,0.24158832000102848,2,0,0.0,True,-35.61764099999982,4
280020027,10,6304.125781,21215.628881824472,31.64309862099617,0.20653404699987732,1,0,0.0,True,5789.827549,19979.137730364782,36.37981278799998,1.2263036880030995,0,0,0.0,True,514.2982320000001,5,5796.910766,19979.553817546075,21.443579626000428,0.3212434109955211,0,0,0.0,True,507.21501499999977,6
280020028,12,6232.28341,22011.417061163887,14.739207584003452,0.31656937999650836,2,2,0.0,True,6232.28341,22011.417061163887,29.240758904001268,0.4562798240003758,2,2,0.0,True,0.0,0,5565.678152,20223.390747628633,35.95667099000275,0.1622021709990804,1,0,0.0,True,666.6052579999996,3
280020029,16,6464.019647,24300.09821828178,25.34175307800615,0.3556863539997721,2,1,0.0,True,6270.412116,23942.060561581708,37.081360599004256,0.28127679899625946,2,0,0.0,True,193.60753099999965,7,6390.265828,23926.329132511593,38.332286377000855,0.29340956400119467,2,1,0.0,True,73.75381900000048,5
