method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,stops,outer_sector_transitions,runtime_s,shared_stops,recovery_actions,max_wait_seen,cover_searches,failure
q2,n14_coverage_seams_2,coverage_seams,14,14,3374.9674458058075,241.0691032718434,12334.837229029039,137,9,40,7,0.7300992999953451,0,0,0,0,
q2,n15_outer_ring_1,outer_ring,15,15,3519.325825600591,234.62172170670607,13281.629128002955,130,5,35,7,0.6870915000035893,0,0,0,0,
q2,n15_narrow_sector_0,narrow_sector,15,15,2520.8237280647695,168.05491520431798,9359.118640323844,96,0,23,1,0.31104889999551233,0,0,0,0,
q2,n15_coverage_seams_3,coverage_seams,15,15,3492.423767060958,232.82825113739722,13292.11883530479,123,12,47,6,0.889758699995582,0,0,0,0,
q2,n16_outer_ring_2,outer_ring,16,16,3338.8104965038933,208.67565603149333,12599.052482519463,123,3,33,5,0.5172320999990916,0,0,0,0,
q2,n16_narrow_sector_1,narrow_sector,16,16,1168.7067418842855,73.04417136776785,3833.5337094214296,54,0,18,3,0.2060328999941703,0,0,0,0,
b4,n10_uniform_disk_0,uniform_disk,10,10,3007.7448140645615,300.7744814064562,10628.724070322807,139,0,22,3,0.7735825999989174,0,0,0,0,
b4,n10_outer_ring_3,outer_ring,10,10,3425.512307797687,342.5512307797687,12187.561538988428,156,3,30,5,0.4570882999978494,0,0,0,0,
b4,n10_narrow_sector_2,narrow_sector,10,10,2529.1338243523,252.91338243523,8715.6691217615,122,2,22,1,0.6648941000021296,0,0,0,0,
b4,n11_uniform_disk_1,uniform_disk,11,11,2894.002290066419,263.09111727876535,10495.011450332093,123,2,23,5,0.7861469999916153,0,0,0,0,
b4,n11_two_clusters_0,two_clusters,11,11,2401.5114980087214,218.31922709170195,7937.557490043606,127,0,20,3,0.6487438000040129,0,0,0,0,
b4,n11_narrow_sector_3,narrow_sector,11,11,2646.327105756364,240.5751914323967,9616.63552878182,111,2,24,1,0.6826536000007764,0,0,0,0,
b4,n12_uniform_disk_2,uniform_disk,12,12,3259.8532399470537,271.65443666225445,12069.266199735268,131,2,29,5,1.51317070001096,0,0,0,0,
