method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,stops,outer_sector_transitions,runtime_s,shared_stops,recovery_actions,max_wait_seen,cover_searches,failure
b4,n11_narrow_sector_2,narrow_sector,11,11,2514.901321589227,228.6273928717479,8299.506607946134,133,1,19,3,0.6096945999888703,0,0,0,0,
b4,n11_coverage_seams_3,coverage_seams,11,11,3230.791565186726,293.7083241078842,11293.957825933629,150,9,36,8,1.1457952999917325,0,0,0,0,
b4,n12_uniform_disk_0,uniform_disk,12,12,3029.5739332195426,252.4644944349619,10967.869666097718,130,0,23,4,1.2639499999932013,0,0,0,0,
b4,n12_outer_ring_1,outer_ring,12,12,3329.3268759604452,277.4439063300371,12326.63437980222,132,7,35,6,0.9223391999985324,0,0,0,0,
b4,n12_two_clusters_2,two_clusters,12,12,2441.3128906579127,203.4427408881594,8271.564453289564,122,0,22,3,1.2055340999941109,0,0,0,0,
b4,n12_narrow_sector_3,narrow_sector,12,12,2439.804749547787,203.3170624623156,8639.023747738938,109,0,21,1,0.9614003999886336,0,0,0,0,
b4,n12_coverage_seams_0,coverage_seams,12,12,3355.0782582939464,279.58985485782887,12350.391291469728,134,11,41,6,0.9850693000043975,0,0,0,0,
b4,n13_uniform_disk_1,uniform_disk,13,13,3346.844236561368,257.44955665856673,12619.221182806841,124,7,36,5,1.8838576999987708,0,0,0,0,
b4,n13_outer_ring_2,outer_ring,13,13,3820.01145348552,293.8470348835016,14615.057267427605,138,3,31,5,0.7771857000043383,0,0,0,0,
b4,n13_two_clusters_3,two_clusters,13,13,2503.0921079545656,192.54554676573582,8630.460539772832,119,0,22,2,1.0233338000107324,0,0,0,0,
b4,n13_narrow_sector_0,narrow_sector,13,13,2578.638659292551,198.35681994558084,9428.193296462756,106,0,22,1,1.220930600000429,0,0,0,0,
b4,n13_coverage_seams_1,coverage_seams,13,13,3437.737808552873,264.4413698886825,12378.68904276436,145,13,44,6,1.7090600000083214,0,0,0,0,
b4,n14_uniform_disk_2,uniform_disk,14,14,3062.711357044474,218.76509693174813,11533.55678522237,115,1,28,4,1.782986999998684,0,0,0,0,
b4,n14_outer_ring_3,outer_ring,14,14,3827.4782056510426,273.3913004036459,14472.39102825522,144,2,32,7,0.8592980999965221,0,0,0,0,
b4,n14_two_clusters_0,two_clusters,14,14,2641.3945724079053,188.67104088627894,9241.972862039529,121,1,24,2,1.7238554000068689,0,0,0,0,
b4,n14_narrow_sector_1,narrow_sector,14,14,2349.7653874066323,167.84038481475946,8343.82693703316,102,0,21,3,1.0017402000084985,0,0,0,0,
b4,n14_coverage_seams_2,coverage_seams,14,14,3561.3281303875233,254.38058074196596,13241.64065193762,137,11,45,9,1.5842206999950577,0,0,0,0,
b4,n15_uniform_disk_3,uniform_disk,15,15,3375.8168311189893,225.0544554079326,12999.084155594945,116,4,33,6,1.9040577999985544,0,0,0,0,
b4,n15_outer_ring_0,outer_ring,15,15,3592.92001867478,239.52800124498532,13719.6000933739,130,0,27,4,0.2661374000017531,0,0,0,0,
b4,n15_two_clusters_1,two_clusters,15,15,2315.1261810933156,154.34174540622104,7840.630905466581,112,1,24,3,1.0874395999999251,0,0,0,0,
b4,n15_narrow_sector_2,narrow_sector,15,15,2642.4520388459528,176.16346925639684,8662.260194229762,139,1,25,3,1.11071510000329,0,0,0,0,
b4,n15_coverage_seams_3,coverage_seams,15,15,3610.5435263055497,240.70290175370332,13402.717631527754,138,14,50,7,1.39616410000599,0,0,0,0,
b4,n16_uniform_disk_0,uniform_disk,16,16,3208.1740570505817,200.51087856566136,12120.87028525291,118,1,31,7,2.2512857999972766,0,0,0,0,
b4,n16_outer_ring_1,outer_ring,16,16,2961.115776775918,185.0697360484949,10540.578883879585,127,7,36,5,1.0377493999985745,0,0,0,0,
b4,n16_two_clusters_2,two_clusters,16,16,1713.030562799966,107.06441017499787,6110.152813999828,69,2,22,5,0.6509265000058804,0,0,0,0,
b4,n16_narrow_sector_3,narrow_sector,16,16,1349.5437910743956,84.34648694214972,3852.718955371979,84,0,18,0,0.5069817999901716,0,0,0,0,
b4,n16_coverage_seams_0,coverage_seams,16,16,3527.5925869808775,220.47453668630484,13457.96293490439,121,16,54,8,1.1296415999968303,0,0,0,0,
b5,n10_uniform_disk_2,uniform_disk,10,10,3354.9366477254734,335.49366477254733,12739.683238627365,127,0,23,6,1.5757028000080027,6,0,12,0,
b5,n10_outer_ring_3,outer_ring,10,10,3421.377599997286,342.1377599997286,12516.887999986435,146,0,29,6,1.044589500001166,6,0,2,0,
