x,y,area_m2,posterior_mass,R_conditional_min_m,R_conditional_max_m
317.88375795350186,-0.3392176109832429,9.587265792505026,0.00034693699510444156,1000,1500
331.23644313928384,-11.198045613536209,9.587265792505008,0.0003469369951044409,1000,1500
331.2600851816327,-10.47537372050814,9.58726579250111,0.00034693699510429985,1000,1500
331.2821505434752,-9.75265196841681,9.587265792504997,0.0003469369951044405,1000,1500
331.3026391197882,-9.029883797161414,9.587265792501121,0.00034693699510430023,1000,1500
331.32155081305325,-8.307072646862075,9.587265792505008,0.0003469369951044409,1000,1500
331.3388855332574,-7.584221957843341,9.587265792505008,0.0003469369951044409,1000,1500
331.35464319789344,-6.861335170618389,9.587265792501116,0.00034693699510430007,1000,1500
331.3688237319607,-6.138415725871759,9.587265792505008,0.0003469369951044409,1000,1500
331.38142706796464,-5.415467064443449,9.587265792505034,0.00034693699510444183,1000,1500
331.392453145918,-4.692492627312949,9.587265792501118,0.0003469369951043001,1000,1500
331.40190191334057,-3.9694958555819806,9.587265792505008,0.0003469369951044409,1000,1500
331.4097733252594,-3.2464801904585907,9.587265792505,0.00034693699510444063,1000,1500
331.4160673442095,-2.5234490732411827,9.587265792501093,0.0003469369951042992,1000,1500
331.42078394023355,-1.8004059453012569,9.58726579250499,0.00034693699510444026,1000,1500
331.4239230908822,-1.0773542480676483,9.587265792501107,0.00034693699510429974,1000,1500
331.42548478121427,-0.3542974230099542,9.587265792505022,0.0003469369951044414,1000,1500
344.2379161396476,-11.638141183488093,9.587265792505033,0.0003469369951044418,1000,1500
344.26248737962476,-10.887103451678513,9.587265792501148,0.0003469369951043012,1000,1500
344.28542005227314,-10.136013901118194,9.587265792505054,0.0003469369951044426,1000,1500
344.30671404844145,-9.384876106726992,9.587265792501148,0.0003469369951043012,1000,1500
344.3263692667777,-8.633693643654366,9.58726579250501,0.00034693699510444096,1000,1500
344.3443856137301,-7.88247008726225,9.587265792505004,0.00034693699510444074,1000,1500
344.36076300354716,-7.1312090131086165,9.587265792501105,0.0003469369951042997,1000,1500
344.37550135827837,-6.379913996929539,9.587265792505027,0.0003469369951044416,1000,1500
344.38860060777444,-5.628588614622666,9.58726579250504,0.00034693699510444204,1000,1500
344.4000606896875,-4.877236442230624,9.58726579250111,0.00034693699510429985,1000,1500
344.4098815494716,-4.125861055923086,9.587265792505022,0.0003469369951044414,1000,1500
344.41806314038297,-3.3744660319802287,9.587265792505033,0.0003469369951044418,1000,1500
344.4246054234802,-2.623054946776151,9.587265792501135,0.00034693699510430077,1000,1500
344.42950836762424,-1.871631376760928,9.587265792505033,0.0003469369951044418,1000,1500
344.43277194947893,-1.1201988984442321,9.58726579250111,0.00034693699510429985,1000,1500
344.43439615351065,-0.36876108837811256,9.587265792505018,0.0003469369951044413,1000,1500
356.7652665697684,-12.062169018043807,9.587265792504986,0.0003469369951044401,1000,1500
356.7907330813686,-11.28379985985913,9.58726579250104,0.0003469369951042973,1000,1500
356.8145013956343,-10.505376994789518,9.58726579250497,0.00034693699510443955,1000,1500
